cpu=0,cpu=20,cpu=40,cpu=60,cpu=80
-0.692,-39.561,-70.703,-84.566,14.336
-0.658,-57.903,-69.68,-21.779,-14.059
13.142,-9.235,494.78,-41.712,28.902
-22.83,79.775,-95.178,-28.287,-103.841
-20.262,-3.044,-94.974,-54.126,-84.511
-34.341,-25.289,-42.317,73.702,-13.729
-26.283,-76.931,-101.833,-39.65,-114.643
-10.604,-29.181,-57.517,53.618,-63.828
-5.527,-1.169,-32.496,-46.223,1.322
32.459,-5.665,-73.67,-9.647,62.816
-4.938,-22.12,-47.236,-36.787,-98.726
-6.983,-9.003,-17.2,-18.004,-19.65
-16.341,5.633,-81.112,-69.275,-60.62
-22.732,17.169,-6.545,-49.714,431.852
1.317,-46.043,15.998,-31.475,134.256
149.189,-5.554,-21.781,78.784,-131.503
2.661,6.011,-39.495,-77.383,-65.746
-47.489,4.931,-31.546,-20.549,8.975
30.988,-48.115,-62.391,98.088,-49.254
